id,tipus,font,nom,municipi,sstt,ssttNou,enquesta,grups,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,a75paret,a75rodes,a65paret,a65rodes,aTotal,apTotal,srFixes,srRodes,srTotal,asm,mad,public,maleta,max
"43001310",ESC-ZER,Centre públic Dep. i CEB,Escola Llicorella - ZER L'Aglà,Gratallops,TAR,TAR,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
"43001334",ESC-ZER,Centre públic Dep. i CEB,Escola Sant Feliu - ZER Les Vinyes,Els Guiamets,TAR,TAR,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
"43001346",ESC,Centre públic Dep. i CEB,Escola Montsagre,Horta de Sant Joan,TEB,TEB,1,4,4,0,4,0,0,3,2,5,4,0,0,0,4,8,0,0,0,0,0,1,1,0
"43001361",ESC,Centre públic Dep. i CEB,Escola Les Cometes,Llorenç del Penedès,TAR,PEN,1,15,0,0,0,6,10,0,0,16,6,9,0,0,15,15,6,9,15,0,0,1,1,0
"43001383",ESC-ZER,Centre públic Dep. i CEB,Escola Anicet Villar - ZER Les Vinyes,Marçà,TAR,TAR,1,2,1,0,1,0,0,0,1,1,0,0,0,1,1,2,0,1,1,1,1,1,0,0
"43001395",ESC-ZER,Centre públic Dep. i CEB,Escola Teresa Subirats i Mestre - ZER Montsià,Mas de Barberans,TEB,TEB,1,3,0,1,1,3,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,1,0,0
"43001437",ESC-ZER,Centre públic Dep. i CEB,Escola Rosa Gisbert - ZER Montsià,Masdenverge,TEB,TEB,1,5,1,0,1,5,0,0,0,5,4,0,0,0,4,5,4,0,4,1,1,1,0,0
"43001462",ESC-ZER,Centre públic Dep. i CEB,Escola Els Til·lers - ZER El Francolí,La Masó,TAR,TAR,1,2,1,0,1,0,0,1,0,1,0,0,1,0,1,2,1,0,1,1,1,1,0,0
"43001498",ESC-ZER,Centre públic Dep. i CEB,Escola Onze de Setembre - ZER Baix Priorat,El Masroig,TAR,TAR,1,2,1,0,1,0,0,0,2,2,0,0,0,1,1,2,0,0,0,1,1,1,0,0
"43001553",ESC,Centre públic Dep. i CEB,Escola Les Muralles,Montblanc,TAR,TAR,1,20,4,0,4,18,1,0,2,21,16,0,0,0,16,20,16,0,16,4,4,1,1,0
"43001565",EE,EE Privats,Tilmar,Montblanc,TAR,TAR,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0
"43001607",ESC,Centre públic Dep. i CEB,Escola Josep M. Soler i Gené,Montbrió del Camp,TAR,TAR,1,16,4,0,4,15,0,0,0,15,12,0,0,0,12,16,12,0,12,4,4,1,1,0
"43001656",ESC,Centre públic Dep. i CEB,Escola Teresa Godes i Domènech,La Juncosa del Montmell (El Montmell),TAR,PEN,1,9,1,0,1,7,1,0,0,8,7,1,0,0,8,9,0,1,1,1,1,1,1,0
"43001668",ESC,Centre públic Dep. i CEB,Escola Mare de Déu de la Roca,Mont-roig del Camp,TAR,TAR,1,19,0,2,2,20,0,0,0,20,19,0,0,0,19,19,19,0,19,0,0,1,1,0
"43001681",ESC,Centre públic Dep. i CEB,Escola Lluís Viñas i Viñoles,Móra d'Ebre,TEB,TEB,1,17,0,6,6,14,1,4,0,19,14,1,2,0,17,17,7,1,8,0,0,1,1,0
"43001735",ESC,Centre públic Dep. i CEB,Escola Ventura Gassol,El Morell,TAR,TAR,1,20,2,1,3,25,0,4,0,29,18,0,0,0,18,20,18,0,18,2,2,1,1,0
"43001796",ESC,Centre públic Dep. i CEB,Escola Sant Sebastià,Nulles,TAR,TAR,1,5,0,0,0,4,0,0,0,4,4,0,0,0,4,4,4,0,4,0,0,1,1,0
"43001826",ESC,Centre públic Dep. i CEB,Escola Sant Sebastià,Els Pallaresos,TAR,TAR,1,13,2,2,4,13,1,0,0,14,11,0,0,0,11,13,11,0,11,2,2,1,1,0
"43001851",ESC-ZER,Centre públic Dep. i CEB,Escola Sant Roc - ZER Riu i Serra,Paüls,TEB,TEB,1,3,1,0,1,3,0,0,0,3,2,0,0,0,2,3,1,0,1,1,1,1,0,0
"43001942",ESC-ZER,Centre públic Dep. i CEB,Escola Cèsar Martinell - ZER Terra Alta-Centre,El Pinell de Brai,TEB,TEB,1,4,0,2,2,4,0,0,0,4,4,0,0,0,4,4,4,0,4,0,0,1,0,0
"43001954",ESC-ZER,Centre públic Dep. i CEB,Escola Antoni Tous - ZER Conca de Barberà,Pira,TAR,TAR,1,4,1,0,1,0,0,2,1,3,0,0,2,1,3,4,0,0,0,1,1,1,0,0
"43001966",ESC,Centre públic Dep. i CEB,Escola Sant Ramon,El Pla de Santa Maria,TAR,TAR,1,9,1,0,1,0,9,0,0,9,0,8,0,0,8,9,0,8,8,1,1,1,1,0
"43002016",ESC-ZER,Centre públic Dep. i CEB,Escola L'Ametller - ZER Terra Alta Nord,La Pobla de Massaluca,TEB,TEB,1,2,1,0,1,0,1,0,0,1,0,1,0,0,1,2,0,0,0,1,1,1,0,0
"43002053",ESC-ZER,Centre públic Dep. i CEB,Escola Garbí - ZER Montsant-Serra de Prades,Poboleda,TAR,TAR,1,2,1,0,1,0,0,1,1,2,0,0,1,0,1,2,1,0,1,1,1,1,0,0
"43002144",ESC-ZER,Centre públic Dep. i CEB,Escola Mare de Déu de la Fontcalda - ZER Ports-Algars,Prat de Comte,TEB,TEB,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
"43002171",ESC,Centre públic Dep. i CEB,Escola Joan Plana,Puigpelat,TAR,TAR,1,9,1,2,3,0,6,0,0,6,0,6,0,0,6,7,0,6,6,3,3,1,1,0
"43002211",ESC,Centre públic Dep. i CEB,Escola Prat de la Riba,Reus,TAR,TAR,1,9,1,9,10,3,0,1,1,5,3,0,1,1,5,6,2,1,3,4,3,1,1,0
"43002235",ESC,Centre públic Dep. i CEB,Escola Pompeu Fabra,Reus,TAR,TAR,1,9,1,0,1,9,0,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"43002247",ESC,Centre públic Dep. i CEB,Escola Misericòrdia,Reus,TAR,TAR,1,9,1,3,4,9,0,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"43002259",ESC,Centre públic Dep. i CEB,Escola Marià Fortuny,Reus,TAR,TAR,1,30,0,10,10,0,18,0,0,18,0,18,0,0,18,18,0,18,18,10,8,1,1,0
"43002260",ESC,Centre públic Dep. i CEB,Escola Ciutat de Reus,Reus,TAR,TAR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"43002272",ESC,Centre públic Dep. i CEB,Escola General Prim,Reus,TAR,TAR,1,11,0,0,0,0,0,15,1,16,0,0,11,0,11,11,11,0,11,0,0,1,1,0
"43002478",ESC,Concertada 30% NESE,Sant Pau,Reus,TAR,TAR,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"43002570",INS,Centre públic Dep. i CEB,Institut Gaudí,Reus,TAR,TAR,1,28,0,0,0,31,2,0,0,33,28,0,0,0,28,28,0,0,0,0,0,1,1,0
"43002582",INS,Centre públic Dep. i CEB,Institut Salvador Vilaseca,Reus,TAR,TAR,1,29,2,2,4,22,0,0,0,22,22,0,0,0,22,24,0,0,0,4,4,1,1,0
"43002594",INS,Centre públic Dep. i CEB,Institut Baix Camp,Reus,TAR,TAR,1,51,1,0,1,40,3,0,0,43,40,3,0,0,43,44,40,3,43,1,1,1,1,0
"43002661",ESC-ZER,Centre públic Dep. i CEB,Escola Sant Agustí - ZER Ebre,Riba-roja d'Ebre,TEB,TEB,1,4,1,0,1,4,1,0,0,5,3,0,0,0,3,4,2,1,3,1,1,1,0,0
"43002752",ESC,Centre públic Dep. i CEB,Escola Beat Bonaventura Gran,Riudoms,TAR,TAR,1,19,0,0,0,19,0,0,0,19,19,0,0,0,19,19,19,0,19,0,0,1,1,0
"43002776",ESC,Centre públic Dep. i CEB,Escola Salvador Espriu,Roda de Berà,TAR,TAR,1,17,2,2,4,11,4,0,0,15,11,4,0,0,15,17,11,4,15,2,2,1,1,0
"43002831",ESC,Centre públic Dep. i CEB,Escola Mestre Marcel·lí Domingo,Roquetes,TEB,TEB,1,27,17,0,17,24,2,0,0,26,10,0,0,0,10,27,10,0,10,17,7,1,1,0
"43002892",ESC,Centre públic Dep. i CEB,Escola Carles III,Sant Carles de la Ràpita,TEB,TEB,1,26,0,2,2,24,1,0,0,25,24,1,0,0,25,25,3,1,4,1,1,1,1,0
"43003008",ESC,Centre públic Dep. i CEB,Escola Jaume Balmes,Santa Bàrbara,TEB,TEB,1,18,0,0,0,14,4,0,0,18,14,4,0,0,18,18,2,4,6,0,0,1,1,0
"43003011",ESC,Centre públic Dep. i CEB,Escola Cor de Roure,Santa Coloma de Queralt,TAR,TAR,1,9,1,0,1,8,1,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"43003069",ESC,Centre públic Dep. i CEB,Escola Salvador Ninot,Sarral,TAR,TAR,1,9,2,0,2,9,0,0,0,9,7,0,0,0,7,9,7,0,7,2,2,1,1,0
"43003082",ESC,Centre públic Dep. i CEB,Escola Guillem de Claramunt,La Secuita,TAR,TAR,1,9,1,1,2,9,0,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"43003100",ESC,Centre públic Dep. i CEB,Escola Abel Ferrater,La Selva del Camp,TAR,TAR,1,19,0,0,0,20,0,0,0,20,19,0,0,0,19,19,19,0,19,0,0,1,1,0
