id,nom,municipi,sstt,ssttNou,idResposta,dataResposta,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,srFixes,srRodes,srTotal,retirada,armaris
"08035623",CEE Jeroni de Moragas,Cerdanyola del Vallès,VOC,VOC,4222044,28/03/2022,3,2,5,4,1,0,0,5,4,1,5,4,0
"08035684",Escola Marià Manent,Premià de Dalt,MVO,MVO,4230995,01/04/2022,1,1,2,18,0,0,0,18,18,0,18,18,4
"08035696",Escola Sant Julià,Sabadell,VOC,VOC,4214497,23/03/2022,1,3,4,10,2,0,0,12,10,2,12,12,4
"08035854",Escola Llorens i Artigas,Badalona,BCO,BCO,4212973,23/03/2022,0,1,1,18,0,0,0,18,18,0,18,18,4
"08035878",Escola Pere de Tera,Badalona,BCO,BCO,4213552,23/03/2022,1,0,1,0,16,0,0,16,0,16,16,8,3
"08035881",Escola L'Areny,Cornellà de Llobregat,BLL,BLL,4213937,23/03/2022,0,0,0,16,4,0,0,20,0,0,0,16,6
"08035945",Escola La Carpa,L'Hospitalet de Llobregat,BCO,BCO,4229037,31/03/2022,1,0,1,27,0,0,0,27,0,0,0,21,6
"08035957",Escola Can Deu,Sabadell,VOC,VOC,4229626,31/03/2022,1,0,1,0,10,0,0,10,0,10,10,10,5
"08035969",Escola Joaquim Blume,Sabadell,VOC,VOC,4211869,22/03/2022,1,4,5,0,0,15,0,15,6,0,6,12,4
"08035994",Escola Salvador Espriu,Sant Feliu de Llobregat,BLL,BLL,4223382,28/03/2022,0,2,2,21,0,0,0,21,0,2,2,21,1
"08036007",Escola Pau Vila,Sant Feliu de Llobregat,BLL,BLL,4218784,25/03/2022,1,0,1,16,2,0,0,18,7,0,7,18,2
"08036044",Escola Pau Vila,Esparreguera,BLL,BLL,4230024,31/03/2022,1,20,21,17,1,0,0,18,5,1,6,13,4
"08036056",Escola Folch i Torres,Esplugues de Llobregat,BLL,BLL,4230390,31/03/2022,1,5,6,15,3,0,0,18,15,3,18,17,4
"08036101",Escola Sagrada Família,Santa Coloma de Gramenet,BCO,BCO,4222624,28/03/2022,1,0,1,18,0,0,0,18,18,0,18,18,4
"08036111",Escola Mas i Perera,Vilafranca del Penedès,BCO,PEN,4226020,29/03/2022,1,3,4,0,0,18,0,18,18,0,18,18,6
"08036135",Escola Joan Coret,Badalona,BCO,BCO,4229693,31/03/2022,0,6,6,15,1,1,0,17,15,1,16,15,2
"08036147",Escola Pau Picasso,Badalona,BCO,BCO,4223309,28/03/2022,2,1,3,20,1,0,0,21,10,1,11,20,3
"08036330",Institut J.V. Foix,Rubí,VOC,VOC,4218671,25/03/2022,2,0,2,17,2,0,0,19,10,3,13,10,0
"08036342",Escola Joan Llongueras,Badalona,BCO,BCO,4214475,23/03/2022,2,0,2,9,0,0,0,9,9,0,9,9,2
"08036366",Escola Lola Anglada,L'Hospitalet de Llobregat,BCO,BCO,4229646,31/03/2022,1,2,3,8,1,0,0,9,2,0,2,9,2
"08036378",Escola Charlie Rivel,L'Hospitalet de Llobregat,BCO,BCO,4218092,25/03/2022,0,0,0,9,0,0,0,9,5,0,5,0,2
"08036391",Institut Arquitecte Manuel Raspall,Cardedeu,MVO,MVO,4231362,01/04/2022,0,0,0,20,0,0,0,20,20,0,20,20,0
"08036411",Escola Saltells,Cerdanyola del Vallès,VOC,VOC,4213025,23/03/2022,0,0,0,9,0,0,4,13,5,4,9,0,4
"08037152",Institut Joan Oró,Martorell,BLL,BLL,4228922,31/03/2022,0,0,0,60,5,0,0,65,60,5,65,0,42
"08037176",Institut La Bastida,Santa Coloma de Gramenet,BCO,BCO,4238301,06/04/2022,1,0,1,23,0,0,0,23,0,0,0,23,10
"08037206",Institut Lluís Companys,Ripollet,VOC,VOC,4227584,30/03/2022,0,0,0,20,0,8,0,28,6,0,6,20,0
"08037292",CEE Centre de Formació i Treball Flor de Maig,Cerdanyola del Vallès,VOC,VOC,4214188,23/03/2022,8,0,8,6,0,0,0,6,6,0,6,3,2
"08037504",Escola Montnegre,La Batllòria (Sant Celoni),MVO,MVO,4225441,29/03/2022,1,1,2,0,6,0,0,6,0,3,3,0,2
"08037528",Escola Sant Domènec,La Ràpita (Santa Margarida i els Monjos),BCO,PEN,4228022,30/03/2022,2,0,2,9,0,0,0,9,9,0,9,9,2
"08037814",Escola Alexandre Galí,Barcelona,CEB,CEB,4231651,01/04/2022,3,3,6,11,0,3,0,14,3,0,3,16,4
"08037841",Escola Splai,Barcelona,CEB,CEB,4214145,23/03/2022,1,0,1,0,2,0,4,6,0,6,6,0,2
"08037863",Escola Seat,Barcelona,CEB,CEB,4211871,22/03/2022,10,2,12,6,0,0,0,6,6,0,6,6,2
"08037875",Escola Rafael Casanova,Badalona,BCO,BCO,4231408,01/04/2022,1,0,1,15,0,0,0,15,15,0,15,7,3
"08037887",Escola Baldiri Reixac,Badalona,BCO,BCO,4213596,23/03/2022,1,0,1,11,0,0,0,11,6,0,6,8,2
"08037899",Escola Folch i Torres,Badalona,BCO,BCO,4214127,23/03/2022,1,0,1,9,0,0,0,9,9,0,9,9,2
"08037917",Escola Joan Miró,Can Diviu (Canovelles),MVO,MVO,4213988,23/03/2022,0,0,0,0,9,0,0,9,0,0,0,0,2
"08037929",Escola Torre Barona,Castelldefels,BLL,BLL,4230900,01/04/2022,0,0,0,19,1,1,0,21,20,1,21,19,6
"08037930",Escola Margalló,Castelldefels,BLL,BLL,4231384,01/04/2022,1,0,1,14,1,2,0,17,16,1,17,14,5
"08037966",Escola Ignasi Iglésias,Cornellà de Llobregat,BLL,BLL,4231430,01/04/2022,10,0,10,13,0,0,3,16,0,0,0,12,5
"08037978",Escola Suris,Cornellà de Llobregat,BLL,BLL,4213784,23/03/2022,0,0,0,18,4,0,0,22,18,4,22,25,3
"08037981",Escola de L'Estany - ZER El Moianès Llevant,L'Estany,CCE,CCE,4225584,29/03/2022,2,0,2,2,1,0,0,3,2,1,3,4,1
"08037991",Escola Marcel·lí Moragas,Gavà,BLL,BLL,4234533,04/04/2022,1,0,1,15,1,0,0,16,15,1,16,0,0
"08038004",Escola Josep Janés,L'Hospitalet de Llobregat,BCO,BCO,4216299,24/03/2022,0,0,0,3,0,0,0,3,3,0,3,3,3
"08038031",Escola Rosa Sensat,El Masnou,MVO,MVO,4227860,30/03/2022,0,2,2,1,1,8,0,10,3,1,4,8,1
"08038041",Escola Federico García Lorca,Mollet del Vallès,MVO,MVO,4226867,30/03/2022,1,2,3,3,0,0,0,3,0,0,0,3,2
"08038065",Escola Montseny,Mollet del Vallès,MVO,MVO,4228930,31/03/2022,0,0,0,21,0,1,4,26,6,4,10,24,4
"08038077",Escola Can Parera,Montornès del Vallès,MVO,MVO,4231334,01/04/2022,1,0,1,15,0,0,0,15,4,0,4,15,4
